FID,FID_1,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_tx,region,region_txt,provstate,city,latitude,longitude,specificit,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternativ,alternat_1,multiple,success,suicide,attacktype,attackty_1,attackty_2,attackty_3,attackty_4,attackty_5,targtype1,targtype1_,targsubtyp,targsubt_1,corp1,target1,natlty1,natlty1_tx,targtype2,targtype2_,targsubt_2,targsubt_3,corp2,target2,natlty2,natlty2_tx,targtype3,targtype3_,targsubt_4,targsubt_5,corp3,target3,natlty3,natlty3_tx,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain,guncerta_1,guncerta_2,individual,nperps,nperpcap,claimed,claimmode,claimmode_,claim2,claimmode2,claimmod_1,claim3,claimmode3,claimmod_2,compclaim,weaptype1,weaptype1_,weapsubtyp,weapsubt_1,weaptype2,weaptype2_,weapsubt_2,weapsubt_3,weaptype3,weaptype3_,weapsubt_4,weapsubt_5,weaptype4,weaptype4_,weapsubt_6,weapsubt_7,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propexte_1,propvalue,propcommen,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcoun,ransom,ransomamt,ransomamtu,ransompaid,ransompa_1,ransomnote,hostkidout,hostkido_1,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,FID_2,SOA_CODE,SOA_LABEL,SOA,SOA_CODE_1,All_usual,Religion or religion brought up in: Catholic,Religion or religion brought up in: Protestant and Other Christian (including Christian related),Religion or religion brought up in: Other religions,Religion or religion brought up in: None,Religion or religion brought up in: Catholic (%),Religion or religion brought up in: Protestant and Other Christian (including Christian related) (%),Religion or religion brought up in: Other religions (%),Religion or religion brought up in: None (%)
102,94,2.01212E+11,2012,12,6, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.995991,-7.34928,1,0,The incident occurred in the Creggan neighborhood.,"12/06/2012: After stopping a vehicle and its passengers, police discovered and defused a large explosive device in Cregan city, Londonderry district, Northern Ireland, United Kingdom. The three people in the vehicle were subsequently arrested. This was o",1,1,1,0,0, ,1,0,0,3,Bombing/Explosion,0, ,0, ,3,Police,23,Police Patrol (including vehicles and convoys),Police Service of Northern Ireland (PSNI),Patrol,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,The New Irish Republican Army, , , , , ,"The specific motive is unknown; however, sources noted that the bomb was discovered 24 hours before the arrival of United States (US) Secretary of State Hillary Clinton to Northern Ireland.",1,0, ,0,3,3,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,15,Vehicle,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Bomb found in car 'meant for attack on PSNI',"" The Irish News, December 8, 2012.","""Clinton car bomb danger averted,"" The Advertiser (Australia), December 8, 2012.","""Derry device designed to kill, says police chief.,"" The Irish Times, December 8, 2012.",START Primary Collection,1,1,1,1,"201212060006, 201212060005",467,95MM10S1,Creggan Central_1,Creggan Central 1,95MM10S1,1456,1409,43,0,4,96.77,2.95,0,0.27
103,156,2.01411E+11,2014,11,2, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996141,-7.349299,1,0,The incident occurred in the Creggan Heights neighborhood,"11/02/2014: Assailants threw a mortar at a police vehicle in Creggan Heights area, Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured in the blast, but the vehicle and a nearby civilian car were damaged. No group",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,3,Police,23,Police Patrol (including vehicles and convoys),Police Service of Northern Ireland (PSNI),Vehicle,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A pipe bomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,Two vehicles were damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""'Reckless attack' on Derry police,"" BBC, November 3, 2014.","""'Miraculous' escape for police in Derry,"" UTV, November 3, 2014.", ,START Primary Collection,0,0,1,1, ,467,95MM10S1,Creggan Central_1,Creggan Central 1,95MM10S1,1456,1409,43,0,4,96.77,2.95,0,0.27
104,158,2.01411E+11,2014,11,20, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996092,-7.343105,1,0,The incident occurred in the Creggan area of the city.,"11/20/2014: Assailants opened fire on civilians inside a private residence in Creggan neighborhood, Londonderry city, Londonderry district, Northern Ireland, United Kingdom. At least one person was injured in the assault. No group claimed responsibility;",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,1,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Timeline of dissident republican activity,"" BBC, January 14, 2015.","""MAN (29) INJURED IN DERRY SHOOTING,"" Derry Daily, November 20, 2014.","""Man shot in paramilitary-style attack in Creggan area of Derry,"" Derry Now, November 20, 2014.",START Primary Collection,0,0,1,1, ,467,95MM10S1,Creggan Central_1,Creggan Central 1,95MM10S1,1456,1409,43,0,4,96.77,2.95,0,0.27
105,169,2.01503E+11,2015,3,31, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996092,-7.343105,1,0,The incident occurred in Creggan neighborhood,"03/31/2015: Six assailants assaulted a civilian in his home with iron bars and nails in Creggan, Northern Ireland, United Kingdom. The civilian, Gerald Lavey, was injured in the attack. Hours later, the assailants returned and set a wheelie bin on fire o",1,1,1,0,0, ,0,1,0,2,Armed Assault,7,Facility/Infrastructure Attack,0, ,14,Private Citizens & Property,68,Named Civilian,Not Applicable,Civilian: Gerald Lavey,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,6,0,0,0, ,0,0, , , , ,0,8,Incendiary,18,Arson/Fire,9,Melee,23,Knife or Other Sharp Object,9,Melee,21,Blunt Object, , , , ,"Iron bars, nails, and fire were used in the attack.",0,0,0,1,0,0,1,3,Minor (likely < $1 million),-99,A wheelie bin was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Timeline of dissident republican activity,"" BBC, May 6, 2015.", , ,START Primary Collection,0,0,1,1, ,467,95MM10S1,Creggan Central_1,Creggan Central 1,95MM10S1,1456,1409,43,0,4,96.77,2.95,0,0.27
106,203,2.01604E+11,2016,4,18, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996092,-7.343105,1,0,The incident occurred in the McGowan Park area of the Creggan neighborhood.,"04/18/2016: Assailants shot and injured a civilian in Londonderry, Northern Ireland, United Kingdom. No group claimed responsibility for the incident; however, sources attributed the attack to The New Irish Republican Army.",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,The New Irish Republican Army, , , , , , ,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,1,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""MCLAUGHLIN: THOSE BEHIND DERRY SHOOTING HAVE NOTHING TO OFFER A NEW IRELAND,"" Derry Daily, April 19, 2016.","""BREAKING NEWS….POLICE PROBE REPORTS OF SHOOTING IN CREGGAN,"" Derry Daily, April 18, 2016.","""What is the New IRA and how dangerous is it?,"" The Week UK, May 12, 2016.",START Primary Collection,1,1,1,1, ,467,95MM10S1,Creggan Central_1,Creggan Central 1,95MM10S1,1456,1409,43,0,4,96.77,2.95,0,0.27
107,142,2.01403E+11,2014,3,26, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.991358,-7.348471,1,0,"Event occurred on Carrickreagh Gardens road, in the neighborhood of Creggan.","03/26/2014: Assailants threw a pipe bomb into a civilian vehicle in Creggan neighborhood, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties; however, the vehicle was damaged in the blast. No group claimed responsib",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,14,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Car,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,The New Irish Republican Army, , , , , , ,1,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A pipe bomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0,"Although sources suspected that the New Irish Republican Army was involved in the attack, sources also speculated that the victim may have been targeted due to a personal conflict.","""Homes evacuated following explosion in Co Derry,"" RTE Online, March 27, 2014.","""Probe after bomb damages car in Derry,"" Breaking News.ie, March 27, 2014.","""Car damaged in Derry explosion,"" UTV, March 27, 2014.",START Primary Collection,1,1,1,1, ,469,95MM11W1,Creggan South,Creggan South,95MM11W1,2277,2215,50,1,11,97.28,2.2,0.04,0.48
108,99,2.01301E+11,2013,1,26, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,55.019756,-7.35194,1,0,The incident occurred in the Ballymagroarty area.,"01/26/2013: An Omega company van tasked with removing graffiti from walls was set on fire in Ballymagroarty neighborhood, Londonderry city, Londonderry district, Northern Ireland, United Kingdom. This was one of two Omega vans burned on January 26th in D",1,1,1,0,0, ,1,1,0,7,Facility/Infrastructure Attack,0, ,0, ,1,Business,3,Bank/Commerce,Omega Property Maintenance,Omega Van,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, sources speculate that the attack, which targeted a van belonging to a company charged with graffiti removal, was due to the company's removal of graffiti supporting Dissidents.  Sources note the employees of the",0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,8,Incendiary,18,Arson/Fire,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A van was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Northern News roundup: Tyrone arrests over Monaghan murder and threat against maintenance firm workers in Derry,"" Inside Ireland, January 30, 2013.","""Arson attacks   on Omega vans condemned,"" Derry Journal, January 29, 2013.","""Dissidents blamed for burning firm's vans,"" Belfast Telegraph Online, January 29, 2013.",START Primary Collection,0,0,1,1,"201301260013, 201301260012",471,95MM12S2,Crevagh_2,Crevagh 2,95MM12S2,1298,1249,35,2,12,96.22,2.7,0.15,0.92
109,174,2.01505E+11,2015,5,6, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,55.039475,-7.314422,1,0,The incident occurred in Oakbridge Park neighborhood,"05/06/2015: Assailants set fire to the vehicle of Sandra Duffy, a Sinn Fein councillor, in Oakbridge Park, Londonderry city, Northern Ireland, United Kingdom. There were no reported casualties in the attack. This was one of two related attacks in Londond",1,1,1,0,0, ,1,1,0,7,Facility/Infrastructure Attack,0, ,0, ,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Northern Ireland,Car of Councillor: Sandra Duffy,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,2,2,0,0, ,0,0, , , , ,0,8,Incendiary,18,Arson/Fire,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""'Bomb warning' at Gerry Adams' home in Belfast,"" UTV, May 6, 2015.", , ,START Primary Collection,0,0,1,1,"201505060086, 201505060087",476,95MM13S4,Culmore_4,Culmore 4,95MM13S4,2553,2421,98,9,25,94.83,3.84,0.35,0.98
110,175,2.01505E+11,2015,5,6, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,55.039475,-7.314422,1,0,The incident occurred in Oakbridge Park neighborhood,"05/06/2015: Assailants set fire to the vehicle of Colly Kelly, a Sinn Fein councillor, in Oakbridge Park, Londonderry city, Northern Ireland, United Kingdom. There were no reported casualties in the attack. This was one of two related attacks in Londonde",1,1,1,0,0, ,1,1,0,7,Facility/Infrastructure Attack,0, ,0, ,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Northern Ireland,Car of Councillor: Colly Kelly,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,8,Incendiary,18,Arson/Fire,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""'Bomb warning' at Gerry Adams' home in Belfast,"" UTV, May 6, 2015.", , ,START Primary Collection,0,0,1,1,"201505060087, 201505060086",476,95MM13S4,Culmore_4,Culmore 4,95MM13S4,2553,2421,98,9,25,94.83,3.84,0.35,0.98
111,81,2.01201E+11,2012,1,19, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0,The incident occurred on Foyle Street and on Strand Road.,"01/19/2012: An explosive device detonated on Foyle Street near several businesses and a police station in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured. This was one of two explosive devices to detonate on t",1,1,1,0,0, ,1,1,0,3,Bombing/Explosion,0, ,0, ,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Business district,Local businesses,233,Northern Ireland,3,Police,3,Bank/Commerce,Londonderry Police,Police stations,233,Northern Ireland, , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, a source speculated that the assailants may have wanted to disrupt the city's preparation to be the United Kingdom's City of Culture for 2013.",0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,0, ,0, , , , , , , , , ,"Two explosive devices, one of which was concealed in a hold-all, were used in the attack.",0,0,0,0,0,0,-9,0, ,0,It is unknown if any property was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Bombs explode in Northern Ireland city,"" CNN Wire, January 19, 2012.","""JJJJJJ: UK:Bombs hit Londonderry in Northern,"" The Warrnambool Standard, January 21, 2012.","""Bombs explode   after phone warning,"" thetimes.co.uk, January 20, 2012.",START Primary Collection,0,0,1,1,"201201190004, 201201190032",479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
112,82,2.01201E+11,2012,1,19, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0, ,"01/19/2012: An explosive device exploded on Strand Road near the Department of Health and Human Services in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured in the blast. This was one of two attacks in Derry on",1,1,1,0,0, ,1,1,0,3,Bombing/Explosion,0, ,0, ,2,Government (General),21,Government Building/Facility/Office,Department of Health and Social Services,Office,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, a source speculated that the assailants may have wanted to disrupt the city's preparation to be the United Kingdom's City of Culture for 2013.",0,0, ,0,-99,0,1,3,Call (pre-incident),0,0, , , , ,0,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,-9,0, ,0,It is unknown if any property was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Bombs explode in Northern Ireland city,"" CNN Wire, January 19, 2012.","""Double bomb blast terror,"" Belfast Telegraph, January 20, 2012.","""Terror gangs behind series of shootings and bombings determined to shatter peace,"" Belfast Telegraph, April 23, 2012.",START Primary Collection,0,0,1,1,"201201190032, 201201190004",479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
113,83,2.01203E+11,2012,3,4, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0, ,"03/04/2012: Four mortars primed for launch were discovered in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. The mortars targeted a police station but were dismantled before they could be launched. No group claimed responsibili",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,3,Police,22,"Police Building (headquarters, station, school)",Police Service of Northern Ireland (PSNI),Police Station,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,-99,3,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,11,"Projectile (rockets, mortars, RPGs, etc.)",0, ,0, , , , , , , , , ,Four mortars were used in the attack.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""North Irish Politicians Praise Police for Foiling Alleged 'New IRA' Mortar Plot,"" Guardian.co.uk, March 4, 2012.", , ,START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
114,86,2.01204E+11,2012,4,15, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0,The incident occurred in the Shantallow area.,"04/15/2012: Assailants planted an explosive device underneath a civilian vehicle in Londonderry city, Derry district, Northern Ireland, United Kingdom. The car belonged to the parents of a police officer, and the device was safely defused by an Army bomb",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,14,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Real Irish Republican Army (RIRA), , , , , , ,1,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A pipe bomb placed under a car that failed to explode when the fuse was lit was used in the attack.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Bombers target N.Irish policeman's parents for second time,"" Reuters News, April 16, 2012.","""MAN HELD OVER OFFICER FAMILY ATTACK,"" Press Association National Newswire, May 21, 2012.","""Dissident republicans target policeman's elderly parents,"" The Irish News, April 17, 2012.",START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
115,92,2.01209E+11,2012,9,21, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0, ,"09/21/2012: Two explosive devices, one in a bag and one attached to a bicycle, were found and defused near the Derry City Council in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No group claimed responsibility; however, polic",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,2,Government (General),21,Government Building/Facility/Office,Unknown,Derry City Council,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, sources suspected that dissident republicans targeted the City Council's office to hurt the city's reputation because it was sponsoring the United Kingdom City of Culture in 2013.",1,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,29,Sticky Bomb,6,Explosives/Bombs/Dynamite,17,Other Explosive Type, , , , , , , , ,A timed explosive device attached to a bicycle and a pipe bomb concealed inside a bag were used in the attack.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Police say N.Irish bombs were deadly trap,"" Reuters News, September 21, 2012.","""Anger and shock at Council   bomb attack,"" Derry Journal, September 24, 2012.","""Lucky escape for Foyle Search and Rescue team who found bomb in bag,"" Belfast Telegraph Online, September 22, 2012.",START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
116,124,2.0131E+11,2013,10,28, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0, ,"10/28/2013: A letter bomb was discovered in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. The letter was mailed to the prosecution services' offices, but was intercepted before it could detonate. No group claimed responsibilit",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,2,Government (General),21,Government Building/Facility/Office,Government of Northern Ireland,Secretary:Theresa Villiers,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,9,Letter Bomb,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Letter Bomb Sent To NI Secretary Villiers,"" Sky News, October 29, 2013.", , ,START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
117,129,2.01311E+11,2013,11,23, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996475,-7.307467,1,0, ,"11/23/2013: Assailants hijacked the vehicle of a pizza delivery driver and attempted to force the driver to drive a suspicious package to a police station in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. The driver managed to",1,1,1,0,0, ,0,1,0,4,Hijacking,0, ,0, ,3,Police,22,"Police Building (headquarters, station, school)",Police Service of Northern Ireland (PSNI),Police Station,233,Northern Ireland,1,Business,1,Gas/Oil,Unknown,Pizza Delivery Van,233,Northern Ireland, , , , , , , , ,Dissident Republicans, , , , , , ,1,0, ,0,2,0,0,0, ,0,0, , , , ,0,13,Unknown,0, ,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,0,0, ,0, ,1,1,0,-99, , , ,0, , , , , ,3,Hostage(s) escaped (not during rescue attempt),1, ,"""Driver told to take package to police left traumatised,"" The Irish News, November 25, 2013.", , ,START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
118,148,2.01407E+11,2014,7,29, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996628,-7.30852,1,0, ,"07/29/2014: Assailants opened fire on a police patrol in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attribu",1,1,1,0,0, ,0,1,0,2,Armed Assault,0, ,0, ,3,Police,23,Police Patrol (including vehicles and convoys),Police Service of Northern Ireland (PSNI),Patrol,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,1,0,0,0, ,0,0, , , , ,0,5,Firearms,5,Unknown Gun Type,0, ,0, , , , , , , , , , ,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A police vehicle was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Gun attack on police patrol car,"" BBC, July 30, 2014.","""McCartney condemns Derry gun attack,"" Sinn Fein, July 30, 2014.", ,START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
119,153,2.0141E+11,2014,10,12, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996462,-7.308662,1,0, ,"10/12/2014: An explosive device detonated after being tossed into a van in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. There were no reported casualties, but the van suffered damages in the blast. No group claimed responsibi",1,1,1,0,0, ,0,1,0,3,Bombing/Explosion,0, ,0, ,14,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Van,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, sources suspected that the assailants had earlier expelled the victim's nephew from the city for using drugs and were demanding an extortion from the victim.",0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,A small home-made pipe bomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Dissidents blamed for pensioner bomb,"" UTV, October 13, 2014.","""Home-made bomb explodes in van in Derry,"" Irish Independent, October 12, 2014.","""Probe into Londonderry explosion,"" UTV, October 12, 2014.",START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
120,154,2.0141E+11,2014,10,14, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.998036,-7.305487,1,0, ,"10/14/2014: An explosive device was discovered and defused in Ballyarnett area, Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No group claimed responsibility; however, sources attributed the attack to dissident republicans.",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,3,Police,25,Police Security Forces/Officers,Police Service of Northern Ireland (PSNI),Officers,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , ,"The specific motive is unknown; however, sources suspected that the placement of the bomb was a ruse to lure police officers to the scene.  The assailants would then have attacked the police officers.",0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,10,Pressure Trigger,0, ,0, , , , , , , , , ,A pressure trigger bomb was used in the attack.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Bomb 'attempt to murder police',"" BBC, October 14, 2014.","""Dissident bomb 'designed to kill',"" BBC, October 14, 2014.","""Up to 30 homes evacuated as explosive device found in Derry,"" Irish Times, October 14, 2014.",START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
121,208,2.01606E+11,2016,6,16, ,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,54.996612,-7.308575,1,0,The incident occurred in the Highmore road area.,"06/16/2016: Police discovered and defused two explosive devices in Londonderry, Northern Ireland, United Kingdom. No group claimed responsibility for the incident; however, sources attributed the attack to dissident Republicans.",1,1,1,0,0, ,0,0,0,3,Bombing/Explosion,0, ,0, ,20,Unknown,0, ,Unknown,Unknown,233,Northern Ireland,0, ,0, , , ,0, , , , , , , , , ,Dissident Republicans, , , , , , ,0,0, ,0,-99,0,0,0, ,0,0, , , , ,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0, ,0, , , , , , , , , ,Pipe bombs were used in the attack.,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0, , , ,0, , , , , ,0, ,0, ,"""Londonderry: Pipe bombs found 'could be linked to dissident republicans',"" BBC, June 17, 2016.","""Police recover two pipe bombs in Derry,"" IrishSun.com, June 17, 2016.","""Two viable pipe bombs recovered by Derry police,"" The Irish News, June 17, 2016.",START Primary Collection,0,0,1,1, ,479,95MM14S2,Ebrington_2,Ebrington 2,95MM14S2,1736,864,787,36,49,49.77,45.33,2.07,2.82
